Gnrc_Name,ATC_Codes,Disease_Category
0.9 % Sodium Chloride,,
Aa 5 %/Calcium/Lytes/Dext 20 %,,
Aa 5%/D15w/Electrolytes,,
Abacavir Sulfate,J05AF,
Abacavir Sulfate/Lamivudine,,
Abacavir/Dolutegravir/Lamivudi,,
Abacavir/Lamivudine/Zidovudine,,
Abaloparatide,H05AA,
Abatacept,L04AA,Arthritis
Abatacept/Maltose,,
Abemaciclib,L01EF,
"Abiraterone Acet,Submicronized",,
Abiraterone Acetate,L01XK|L02BX,
Abobotulinumtoxina,,
Abrocitinib,D11AH,
Acalabrutinib,L01EL,
Acalabrutinib Maleate,,
Acamprosate Calcium,N07BB,
Acarbose,A10BF,Diabetes
Acebutolol HCl,,
Acetaminophen,N02AJ|N02BE,
Acetaminophen With Codeine,,
Acetaminophen/Caff/Dihydrocod,,
Acetazolamide,S01EC,
Acetazolamide Sodium,S01EC,
Acetic Acid,G01AD|S02AA,
Acetohydroxamic Acid,G04BX,
Acetylcysteine,R05CB|S01XA|V03AB,
Acitretin,D05BB,
Aclidinium Brom/Formoterol Fum,,
Aclidinium Bromide,R03BB,
Acyclovir,D06BB|J05AB|S01AD,
Acyclovir Sodium,D06BB|J05AB|S01AD,
Acyclovir/Hydrocortisone,,
Adagrasib,L01XX,
Adalimumab,L04AB,Arthritis
Adalimumab-Aaty,L04AB,Arthritis
Adalimumab-Adaz,L04AB,Arthritis
Adalimumab-Adbm,L04AB,Arthritis
Adalimumab-Aqvh,L04AB,Arthritis
Adalimumab-Atto,L04AB,Arthritis
Adalimumab-Bwwd,L04AB,Arthritis
Adalimumab-Fkjp,L04AB,Arthritis
Adapalene,D10AD,
Adapalene/Benzoyl Peroxide,,
Adefovir Dipivoxil,J05AF,
Ado-Trastuzumab Emtansine,L01FD,
Afatinib Dimaleate,L01EB,
Aflibercept,L01XX|S01LA,
Agalsidase Beta,A16AB,
Albendazole,P02CA,
Albumin Human,,
Albuterol Sulfate,R03AC|R03CC,
Albuterol Sulfate/Budesonide,,
Alclometasone Dipropionate,D07AB|S01BA,
Alcohol Antiseptic Pads,,
Alectinib HCl,,
Alemtuzumab,L04AG,Arthritis
Alendronate Sodium,,
Alendronate Sodium/Vitamin D3,,
Alfuzosin HCl,,
Alglucosidase Alfa,A16AB,
Alirocumab,C10AX,High Cholesterol
Aliskiren Hemifumarate,C09XA,Hypertension
Aliskiren/Hydrochlorothiazide,,
Alitretinoin,D11AH|L01XF,
Allopurinol,M04AA,Arthritis
Almotriptan Malate,N02CC,
Alogliptin Benz/Metformin HCl,,
Alogliptin Benz/Pioglitazone,,
Alogliptin Benzoate,A10BH,Diabetes
Alosetron HCl,,
Alpelisib,L01EM,
Alpha-1-Proteinase Inhibitor,,
Alprazolam,N05BA,
Amantadine HCl,,
Ambrisentan,C02KX,Hypertension
Amcinonide,D07AC,
Amifampridine Phosphate,N07XX,
Amikacin Liposomal/Neb.Accessr,,
Amikacin Sulfate,D06AX|J01GB|S01AA,
Amiloride HCl,,
Amiloride/Hydrochlorothiazide,,
Amino Ac 4.25% No.1/D5W/Lytes,,
Amino Ac 8 %/D14w/Electrolytes,,
Amino Acid 8 % In D14w,,
Amino Acids 4.25 %/Dextrose 5%,,
Amino Acids 4.25%/Dextrose 10%,,
Amino Acids 5 %/Dextrose 15 %,,
Amino Acids 5 %/Dextrose 20 %,,
Aminocaproic Acid,B02AA,
Aminolevulinic Acid HCl,,
Amiodarone HCl,,
Amitriptyline HCl,,
Amitriptyline/Chlordiazepoxide,,
Amivantamab-Vmjw,L01FX,
Amlodipine Benzoate,C08CA,Hypertension
Amlodipine Bes/Olmesartan Med,,
Amlodipine Besylate,C08CA,Hypertension
Amlodipine Besylate/Benazepril,,
Amlodipine Besylate/Valsartan,,
Amlodipine/Atorvastatin,,
Amlodipine/Valsartan/HCThiazid,,
Ammonium Lactate,,
Amoxapine,N06AA,
Amoxicillin,A02BD|J01CA,
Amoxicillin/Potassium Clav,,
Amphetamine,N06BA,
Amphetamine Sulfate,N06BA,
Amphotericin B,A01AB|A07AA|G01AA|J02AA,
Amphotericin B Liposome,,
Ampicillin Sod/Sulbactam Sod,,
Ampicillin Sodium,J01CA|S01AA,
Ampicillin Trihydrate,J01CA|S01AA,
Anagrelide HCl,,
Anakinra,L04AC,Arthritis
Anastrozole,L02BG,
Anidulafungin,J02AX,
Anifrolumab-Fnia,L04AG,Arthritis
Apalutamide,L02BB,
Apixaban,B01AF,
Apomorphine HCl,,
Apraclonidine HCl,,
Apremilast,L04AA,Arthritis
Aprepitant,A04AD,
Arformoterol Tartrate,,
Aripiprazole,N05AX,
Aripiprazole Lauroxil,,
"Aripiprazole Lauroxil,Submicr.",,
Armodafinil,N06BA,
Artemether/Lumefantrine,,
Asciminib Hydrochloride,L01EA,
Asenapine,N05AH,
Asenapine Maleate,N05AH,
Asfotase Alfa,A16AB,
Aspirin/Dipyridamole,,
Atazanavir Sulfate,J05AE,
Atazanavir Sulfate/Cobicistat,,
Atenolol,C07AB|C07FB,Hypertension
Atenolol/Chlorthalidone,,
Atezolizumab,L01FF,
Atogepant,N02CD,
Atomoxetine HCl,,
Atorvastatin Calcium,C10AA,High Cholesterol
Atovaquone,P01AX|P01BB,
Atovaquone/Proguanil HCl,,
Atropine Sulfate,A03BA|S01FA,
Atropine Sulfate/PF,,
Auranofin,M01CB,Arthritis
Avacincaptad PEGol Sodium/PF,,
Avacopan,L04AJ,Arthritis
Avalglucosidase Alfa-Ngpt,A16AB,
Avapritinib,L01EX,
Avatrombopag Maleate,B02BX,
Avelumab,L01FF,
Axitinib,L01EK,
Azacitidine,L01BC,
Azathioprine,L04AX,Arthritis
Azelaic Acid,D10AX,
Azelastine HCl,,
Azelastine/Fluticasone,,
Azilsartan Med/Chlorthalidone,,
Azilsartan Medoxomil,C09CA,Hypertension
Azithromycin,J01FA|S01AA,
Aztreonam,J01DF,
Aztreonam Lysine,,
B Complex W-C No.20/Folic Acid,,
BCG Live,,
Bacitracin,D06AX|J01XX|R02AB|S01AA,
Bacitracin/Polymyxin B Sulfate,,
Baclofen,M03BX,
Balanced Salt Irrig Soln No.2,,
Baloxavir Marboxil,J05AX,
Balsalazide Disodium,A07EC,
Baricitinib,L04AF,Arthritis
Becaplermin,A01AD|D03AX,
Beclomethasone Dipropionate,A07EA|D07AC|R01AD|R03BA,
Bedaquiline Fumarate,J04AK,
Belatacept,L04AA,Arthritis
Belimumab,L04AG,Arthritis
Belumosudil Mesylate,L04AA,Arthritis
Belzutifan,L01XX,
Bempedoic Acid,C10AX|C10BA,High Cholesterol
Bempedoic Acid/Ezetimibe,,
Benazepril HCl,,
Benazepril/Hydrochlorothiazide,,
Bendamustine HCl,,
Benralizumab,R03DX,
Benzonatate,R05DB,
Benzoyl Peroxide,D10AE,
Benztropine Mesylate,N04AC,
Bepotastine Besilate,,
Beremagene Geperpavec-Svdt,D03AX,
Berotralstat Hydrochloride,B06AC,
Besifloxacin HCl,,
Betaine,A09AB|A16AA,
"Betamethasone Acetate,Sod Phos",,
Betamethasone Dipropionate,A07EA|C05AA|D07AC|D07XC|H02AB|R01AD|R03BA|S01BA|S01CB|S02BA|S03BA,
