,Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Year,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23,Chg_Avg_Spnd_Per_Dsg_Unt_22_23,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Avg_Spnd_Per_Dsg_Unt_Wghtd,Outlier_Flag,Tot_Benes,Tot_Clms,Tot_Dsg_Unts,Tot_Spndng,ATC_Codes,Disease_Category
5,1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Owen Mumford Us,2019,0.0117543595,0.0057017529,74.122300319,25.816335312,0.2167879244,0.0,1878.0,5392.0,642471.0,139201.68,,Other / Not classified
6,1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Owen Mumford Us,2020,0.0117543595,0.0057017529,74.560025078,26.682351357,0.217701046,0.0,1595.0,4457.0,547006.0,118923.24,,Other / Not classified
7,1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Owen Mumford Us,2021,0.0117543595,0.0057017529,77.898522468,27.583807983,0.2230012539,0.0,1313.0,3708.0,459384.0,102280.76,,Other / Not classified
8,1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Owen Mumford Us,2022,0.0117543595,0.0057017529,61.063304272,28.004642143,0.225873987,0.0,1147.0,2501.0,310304.0,70039.61,,Other / Not classified
9,1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Owen Mumford Us,2023,0.0117543595,0.0057017529,63.454992847,27.498474892,0.2271618646,0.0,699.0,1613.0,195672.0,44355.04,,Other / Not classified
15,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Owen Mumford Us,2019,0.0648484791,0.0221647035,64.491712728,23.525918661,0.1873888035,0.0,5319.0,14581.0,1830596.0,343031.42,,Other / Not classified
16,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Owen Mumford Us,2020,0.0648484791,0.0221647035,53.832816901,25.002039724,0.200851195,0.0,3905.0,8408.0,1046616.0,210217.15,,Other / Not classified
17,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Owen Mumford Us,2021,0.0648484791,0.0221647035,74.704037373,28.906075811,0.2328115409,0.0,1766.0,4564.0,566872.0,131927.33,,Other / Not classified
18,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Owen Mumford Us,2022,0.0648484791,0.0221647035,77.748670285,29.797592304,0.2357078344,0.0,1474.0,3846.0,486206.0,114601.54,,Other / Not classified
19,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Owen Mumford Us,2023,0.0648484791,0.0221647035,77.309534333,29.963652493,0.2409322287,0.0,1267.0,3269.0,406617.0,97951.18,,Other / Not classified
25,Abacavir,Abacavir Sulfate,1,"Cipla USA, Inc.",2019,-0.055798316,-0.031307579,1000.4460315,210.90647236,3.6295710907,0.0,698.0,3311.0,192395.0,698311.33,J05AF,Other / Not classified
26,Abacavir,Abacavir Sulfate,1,"Cipla USA, Inc.",2020,-0.055798316,-0.031307579,1140.4319398,226.58716463,3.7726016167,0.0,665.0,3347.0,201025.0,758387.24,J05AF,Other / Not classified
27,Abacavir,Abacavir Sulfate,1,"Cipla USA, Inc.",2021,-0.055798316,-0.031307579,998.9202765,198.50338828,3.1765506697,0.0,651.0,3276.0,204718.0,650297.1,J05AF,Other / Not classified
28,Abacavir,Abacavir Sulfate,1,"Cipla USA, Inc.",2022,-0.055798316,-0.031307579,1193.8589504,240.47730286,2.9780260202,0.0,705.0,3500.0,282627.0,841670.56,J05AF,Other / Not classified
29,Abacavir,Abacavir Sulfate,1,"Cipla USA, Inc.",2023,-0.055798316,-0.031307579,1196.1976263,241.43438328,2.8847912353,0.0,594.0,2943.0,246306.0,710541.39,J05AF,Other / Not classified
30,Abacavir,Abacavir Sulfate,1,Rising Pharm,2019,-0.007521865,-0.058312712,1847.5044156,328.54004619,0.4556479293,0.0,77.0,433.0,312210.0,142257.84,J05AF,Other / Not classified
31,Abacavir,Abacavir Sulfate,1,Rising Pharm,2020,-0.007521865,-0.058312712,2097.1778125,296.94553097,0.4718226175,0.0,64.0,452.0,284470.0,134219.38,J05AF,Other / Not classified
