Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spnd_Per_Dsg_Unt_Wghtd_2023,Avg_Spnd_Per_Clm_2023,Avg_Spnd_Per_Bene_2023,Outlier_Flag_2023,Chg_Avg_Spnd_Per_Dsg_Unt_22_23,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23
1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Overall,139201.68,642471,5392,1878,0.2167879244,25.816335312,74.122300319,0,118923.24,547006,4457,1595,0.217701046,26.682351357,74.560025078,0,102280.76,459384,3708,1313,0.2230012539,27.583807983,77.898522468,0,70039.61,310304,2501,1147,0.225873987,28.004642143,61.063304272,0,44355.04,195672,1613,699,0.2271618646,27.498474892,63.454992847,0,0.0057017529,0.0117543595
1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Owen Mumford Us,139201.68,642471,5392,1878,0.2167879244,25.816335312,74.122300319,0,118923.24,547006,4457,1595,0.217701046,26.682351357,74.560025078,0,102280.76,459384,3708,1313,0.2230012539,27.583807983,77.898522468,0,70039.61,310304,2501,1147,0.225873987,28.004642143,61.063304272,0,44355.04,195672,1613,699,0.2271618646,27.498474892,63.454992847,0,0.0057017529,0.0117543595
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Overall,343031.42,1830596,14581,5319,0.1873888035,23.525918661,64.491712728,0,210217.15,1046616,8408,3905,0.200851195,25.002039724,53.832816901,0,131927.33,566872,4564,1766,0.2328115409,28.906075811,74.704037373,0,114601.54,486206,3846,1474,0.2357078344,29.797592304,77.748670285,0,97951.18,406617,3269,1267,0.2409322287,29.963652493,77.309534333,0,0.0221647035,0.0648484791
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Owen Mumford Us,343031.42,1830596,14581,5319,0.1873888035,23.525918661,64.491712728,0,210217.15,1046616,8408,3905,0.200851195,25.002039724,53.832816901,0,131927.33,566872,4564,1766,0.2328115409,28.906075811,74.704037373,0,114601.54,486206,3846,1474,0.2357078344,29.797592304,77.748670285,0,97951.18,406617,3269,1267,0.2409322287,29.963652493,77.309534333,0,0.0221647035,0.0648484791
Abacavir,Abacavir Sulfate,5,Overall,10110328.45,3316293,42629,6085,3.4827247521,237.17019986,1661.51659,0,9196378.7,2959278,37102,5068,3.4912038683,247.86746537,1814.5972178,0,7027816.23,2498928,30488,4254,3.1858372173,230.51089707,1652.0489492,0,6943055.75,2034487,24294,3452,3.8710647827,285.79302503,2011.3139484,0,5287295.41,1648593,19632,2809,3.594356551,269.32026335,1882.2696369,0,-0.071481168,0.0079186955
Abacavir,Abacavir Sulfate,1,"Cipla USA, Inc.",698311.33,192395,3311,698,3.6295710907,210.90647236,1000.4460315,0,758387.24,201025,3347,665,3.7726016167,226.58716463,1140.4319398,0,650297.1,204718,3276,651,3.1765506697,198.50338828,998.9202765,0,841670.56,282627,3500,705,2.9780260202,240.47730286,1193.8589504,0,710541.39,246306,2943,594,2.8847912353,241.43438328,1196.1976263,0,-0.031307579,-0.055798316
Abacavir,Abacavir Sulfate,1,Rising Pharm,142257.84,312210,433,77,0.4556479293,328.54004619,1847.5044156,0,134219.38,284470,452,64,0.4718226175,296.94553097,2097.1778125,0,123118.64,262650,437,65,0.4687555302,281.73601831,1894.1329231,0,92432.25,196887,350,49,0.4694685276,264.09214286,1886.372449,0,48974.57,110779,206,31,0.4420925446,237.74063107,1579.8248387,0,-0.058312712,-0.007521865
Abacavir,Abacavir Sulfate,1,Mylan,1937920.78,500896,7984,1505,3.868908476,242.7255486,1287.6550033,0,1670937.94,414685,6225,1246,4.0294149535,268.42376546,1341.0416854,0,1040794.94,285628,4154,842,3.6438827426,250.55246509,1236.0985036,0,957143.18,217586,3116,595,4.3989189562,307.17046855,1608.644,0,666703.2,172968,2470,469,3.8544886915,269.92032389,1421.5420043,0,-0.123764559,-0.000933079
Abacavir,Abacavir Sulfate,1,Aurobindo Pharm,3097563.43,836918,13106,2299,3.7011552267,236.34697314,1347.3525141,0,2415760.81,715751,10958,1757,3.375141369,220.45636156,1374.9350085,0,2114714.13,636792,9667,1549,3.3208867731,218.75598738,1365.212479,0,1935437.79,491183,7565,1155,3.9403598862,255.84108262,1675.7037143,0,1411487.34,395492,6035,965,3.5689403073,233.88356918,1462.6811813,0,-0.094260319,-0.009052843
Abacavir,Abacavir Sulfate,1,Camber Pharmace,4234275.07,1473874,17795,3305,3.1949178056,237.94746108,1281.1724871,0,4217073.33,1343347,16120,2951,3.3884973498,261.60504529,1429.0319654,0,3098891.42,1109140,12954,2373,3.0321813782,239.22274355,1305.8960893,0,3116371.97,846204,9763,1767,4.0909954694,319.2022913,1763.6513696,0,2449588.91,723048,7978,1433,3.8761913159,307.04298195,1709.4130565,0,-0.052506573,0.0495095109
