,Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Year,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23,Chg_Avg_Spnd_Per_Dsg_Unt_22_23,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Avg_Spnd_Per_Dsg_Unt_Wghtd,Outlier_Flag,Tot_Benes,Tot_Clms,Tot_Dsg_Unts,Tot_Spndng,ATC_Codes,Disease_Category
0,1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Overall,2019,0.0117543595,0.0057017529,74.122300319,25.816335312,0.2167879244,0.0,1878.0,5392.0,642471.0,139201.68,,Other / Not classified
1,1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Overall,2020,0.0117543595,0.0057017529,74.560025078,26.682351357,0.217701046,0.0,1595.0,4457.0,547006.0,118923.24,,Other / Not classified
2,1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Overall,2021,0.0117543595,0.0057017529,77.898522468,27.583807983,0.2230012539,0.0,1313.0,3708.0,459384.0,102280.76,,Other / Not classified
3,1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Overall,2022,0.0117543595,0.0057017529,61.063304272,28.004642143,0.225873987,0.0,1147.0,2501.0,310304.0,70039.61,,Other / Not classified
4,1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Overall,2023,0.0117543595,0.0057017529,63.454992847,27.498474892,0.2271618646,0.0,699.0,1613.0,195672.0,44355.04,,Other / Not classified
10,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Overall,2019,0.0648484791,0.0221647035,64.491712728,23.525918661,0.1873888035,0.0,5319.0,14581.0,1830596.0,343031.42,,Other / Not classified
11,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Overall,2020,0.0648484791,0.0221647035,53.832816901,25.002039724,0.200851195,0.0,3905.0,8408.0,1046616.0,210217.15,,Other / Not classified
12,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Overall,2021,0.0648484791,0.0221647035,74.704037373,28.906075811,0.2328115409,0.0,1766.0,4564.0,566872.0,131927.33,,Other / Not classified
13,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Overall,2022,0.0648484791,0.0221647035,77.748670285,29.797592304,0.2357078344,0.0,1474.0,3846.0,486206.0,114601.54,,Other / Not classified
14,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Overall,2023,0.0648484791,0.0221647035,77.309534333,29.963652493,0.2409322287,0.0,1267.0,3269.0,406617.0,97951.18,,Other / Not classified
20,Abacavir,Abacavir Sulfate,5,Overall,2019,0.0079186955,-0.071481168,1661.51659,237.17019986,3.4827247521,0.0,6085.0,42629.0,3316293.0,10110328.45,J05AF,Other / Not classified
21,Abacavir,Abacavir Sulfate,5,Overall,2020,0.0079186955,-0.071481168,1814.5972178,247.86746537,3.4912038683,0.0,5068.0,37102.0,2959278.0,9196378.7,J05AF,Other / Not classified
22,Abacavir,Abacavir Sulfate,5,Overall,2021,0.0079186955,-0.071481168,1652.0489492,230.51089707,3.1858372173,0.0,4254.0,30488.0,2498928.0,7027816.23,J05AF,Other / Not classified
23,Abacavir,Abacavir Sulfate,5,Overall,2022,0.0079186955,-0.071481168,2011.3139484,285.79302503,3.8710647827,0.0,3452.0,24294.0,2034487.0,6943055.75,J05AF,Other / Not classified
24,Abacavir,Abacavir Sulfate,5,Overall,2023,0.0079186955,-0.071481168,1882.2696369,269.32026335,3.594356551,0.0,2809.0,19632.0,1648593.0,5287295.41,J05AF,Other / Not classified
50,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,4,Overall,2019,0.0176667287,0.0018370541,2032.8718403,375.05416873,11.242099124,0.0,6423.0,34814.0,1160969.0,13057135.83,,Other / Not classified
51,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,4,Overall,2020,0.0176667287,0.0018370541,1930.512763,388.67078973,11.162573921,0.0,4752.0,23603.0,821560.0,9173796.65,,Other / Not classified
53,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,4,Overall,2022,0.0176667287,0.0018370541,3486.7802393,478.69545229,12.035735193,0.0,3427.0,24962.0,988848.0,11949195.88,,Other / Not classified
54,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,4,Overall,2023,0.0176667287,0.0018370541,3457.5499654,494.9871046,12.057845489,0.0,2892.0,20201.0,827085.0,9999234.5,,Other / Not classified
75,Abilify,Aripiprazole,1,Overall,2019,-0.085913695,0.0090919108,7317.338079,1282.517348,33.402208187,0.0,3670.0,20939.0,808281.5,26854630.75,N05AX,Other / Not classified
76,Abilify,Aripiprazole,1,Overall,2020,-0.085913695,0.0090919108,9669.0010308,1384.0189163,34.436527492,0.0,2532.0,17689.0,716447.5,24481910.61,N05AX,Other / Not classified
77,Abilify,Aripiprazole,1,Overall,2021,-0.085913695,0.0090919108,9422.6546366,1342.3007129,32.656164441,0.0,2174.0,15261.0,633899.0,20484851.18,N05AX,Other / Not classified
78,Abilify,Aripiprazole,1,Overall,2022,-0.085913695,0.0090919108,6844.3845313,967.26176211,23.109644371,0.0,1920.0,13586.0,575817.0,13141218.3,N05AX,Other / Not classified
79,Abilify,Aripiprazole,1,Overall,2023,-0.085913695,0.0090919108,6845.0133583,980.84549649,23.319755196,0.0,1736.0,12115.0,516496.25,11882943.19,N05AX,Other / Not classified
85,Abilify Asimtufii,Aripiprazole,1,Overall,2019,,,,,,nan,,,,,N05AX,Other / Not classified
86,Abilify Asimtufii,Aripiprazole,1,Overall,2020,,,,,,nan,,,,,N05AX,Other / Not classified
87,Abilify Asimtufii,Aripiprazole,1,Overall,2021,,,,,,nan,,,,,N05AX,Other / Not classified
88,Abilify Asimtufii,Aripiprazole,1,Overall,2022,,,,,,nan,,,,,N05AX,Other / Not classified
89,Abilify Asimtufii,Aripiprazole,1,Overall,2023,,,10738.275971,5484.9866058,1783.0262923,0.0,1231.0,2410.0,7414.2,13218817.72,N05AX,Other / Not classified
95,Abilify Maintena,Aripiprazole,1,Overall,2019,0.0530322483,0.0700776018,16601.966183,2231.3555162,2222.0696373,0.0,25421.0,189140.0,189937.35,422038582.34,N05AX,Other / Not classified
96,Abilify Maintena,Aripiprazole,1,Overall,2020,0.0530322483,0.0700776018,17948.729315,2265.1197827,2253.5948883,0.0,25646.0,203218.0,204264.771,460313112.01,N05AX,Other / Not classified
97,Abilify Maintena,Aripiprazole,1,Overall,2021,0.0530322483,0.0700776018,18922.786757,2392.0851736,2368.5084279,0.0,26393.0,208784.0,210840.18,499429110.88,N05AX,Other / Not classified
98,Abilify Maintena,Aripiprazole,1,Overall,2022,0.0530322483,0.0700776018,20367.209959,2564.0247941,2553.3425156,0.0,27676.0,219843.0,220767.4,563682902.82,N05AX,Other / Not classified
99,Abilify Maintena,Aripiprazole,1,Overall,2023,0.0530322483,0.0700776018,21678.054699,2743.1616326,2732.2746358,0.0,29378.0,232162.0,233084.9,636857890.94,N05AX,Other / Not classified
115,Abiraterone Acetate,Abiraterone Acetate,19,Overall,2019,-0.061795304,-0.03906461,15826.332161,5065.3717593,43.384441996,0.0,17787.0,55574.0,6472203.0,281502970.15,L01XK|L02BX,Other / Not classified
116,Abiraterone Acetate,Abiraterone Acetate,19,Overall,2020,-0.061795304,-0.03906461,17034.568168,3201.761427,28.125781745,0.0,23638.0,125763.0,14319839.0,402663122.35,L01XK|L02BX,Other / Not classified
117,Abiraterone Acetate,Abiraterone Acetate,19,Overall,2021,-0.061795304,-0.03906461,19584.210734,3014.7111131,33.704066173,0.0,30513.0,198219.0,21120289.0,597573022.12,L01XK|L02BX,Other / Not classified
118,Abiraterone Acetate,Abiraterone Acetate,19,Overall,2022,-0.061795304,-0.03906461,19634.455788,3050.4393875,34.980840236,0.0,35733.0,229999.0,24165984.0,701598008.68,L01XK|L02BX,Other / Not classified
119,Abiraterone Acetate,Abiraterone Acetate,19,Overall,2023,-0.061795304,-0.03906461,19217.045548,2779.7403482,33.614327353,0.0,45661.0,315666.0,32615964.0,877469516.77,L01XK|L02BX,Other / Not classified
215,Abraxane,Paclitaxel Protein-Bound,1,Overall,2019,0.0472262471,0.0070792662,26435.845495,7397.5937395,1393.342284,0.0,333.0,1190.0,6318.0,8803136.55,L01CD,Other / Not classified
216,Abraxane,Paclitaxel Protein-Bound,1,Overall,2020,0.0472262471,0.0070792662,30698.863041,7615.0367885,1479.2956662,0.0,319.0,1286.0,6620.0,9792937.31,L01CD,Other / Not classified
217,Abraxane,Paclitaxel Protein-Bound,1,Overall,2021,0.0472262471,0.0070792662,31058.256384,7945.7372583,1567.9797254,0.0,307.0,1200.0,6081.0,9534884.71,L01CD,Other / Not classified
218,Abraxane,Paclitaxel Protein-Bound,1,Overall,2022,0.0472262471,0.0070792662,28318.444591,7691.4293951,1664.0111672,0.0,220.0,810.0,3744.0,6230057.81,L01CD,Other / Not classified
219,Abraxane,Paclitaxel Protein-Bound,1,Overall,2023,0.0472262471,0.0070792662,29969.068153,8006.7574785,1675.7911453,0.0,249.0,932.0,4453.0,7462297.97,L01CD,Other / Not classified
225,Abrysvo,"Rsv Vacc, Pref A And Pref B/PF",1,Overall,2019,,,,,,nan,,,,,,Other / Not classified
226,Abrysvo,"Rsv Vacc, Pref A And Pref B/PF",1,Overall,2020,,,,,,nan,,,,,,Other / Not classified
227,Abrysvo,"Rsv Vacc, Pref A And Pref B/PF",1,Overall,2021,,,,,,nan,,,,,,Other / Not classified
228,Abrysvo,"Rsv Vacc, Pref A And Pref B/PF",1,Overall,2022,,,,,,nan,,,,,,Other / Not classified
229,Abrysvo,"Rsv Vacc, Pref A And Pref B/PF",1,Overall,2023,,,327.48168901,327.16341189,327.30454988,0.0,2131906.0,2133980.0,2133059.8,698160177.7,,Other / Not classified
235,Absorica,Isotretinoin,1,Overall,2019,0.0091327694,-0.056617313,5459.5214894,1710.6500667,37.435019327,0.0,47.0,150.0,6840.0,256597.51,D10AD|D10BA,Other / Not classified
236,Absorica,Isotretinoin,1,Overall,2020,0.0091327694,-0.056617313,4526.0328846,1867.8865873,37.944869135,0.0,52.0,126.0,6180.0,235353.71,D10AD|D10BA,Other / Not classified
237,Absorica,Isotretinoin,1,Overall,2021,0.0091327694,-0.056617313,4677.124,1860.2197727,39.690154659,0.0,35.0,88.0,4090.0,163699.34,D10AD|D10BA,Other / Not classified
238,Absorica,Isotretinoin,1,Overall,2022,0.0091327694,-0.056617313,3875.3566667,1823.6972549,41.151284582,0.0,24.0,51.0,2250.0,93008.56,D10AD|D10BA,Other / Not classified
245,Absorica Ld,"Isotretinoin, Micronized",1,Overall,2019,0.0686032116,0.1565671648,,,,nan,,,,,,Other / Not classified
255,Acamprosate Calcium,Acamprosate Calcium,6,Overall,2019,-0.014945613,-0.032386078,520.43370676,165.44857817,1.0040177266,0.0,11649.0,36643.0,6039910.0,6062532.25,N07BB,Other / Not classified
256,Acamprosate Calcium,Acamprosate Calcium,6,Overall,2020,-0.014945613,-0.032386078,542.34494444,161.73552075,0.9707188196,0.0,11880.0,39837.0,6638946.0,6443057.94,N07BB,Other / Not classified
257,Acamprosate Calcium,Acamprosate Calcium,6,Overall,2021,-0.014945613,-0.032386078,535.18643021,162.59110838,0.9711163154,0.0,13110.0,43153.0,7221497.0,7016294.1,N07BB,Other / Not classified
258,Acamprosate Calcium,Acamprosate Calcium,6,Overall,2022,-0.014945613,-0.032386078,539.26162603,164.84404227,0.9769674869,0.0,13739.0,44945.0,7575486.0,7408915.48,N07BB,Other / Not classified
259,Acamprosate Calcium,Acamprosate Calcium,6,Overall,2023,-0.014945613,-0.032386078,513.3748836,161.11950629,0.945327342,0.0,15765.0,50232.0,8557788.0,8093355.04,N07BB,Other / Not classified
290,Acanya,Clindamycin Phos/Benzoyl Perox,1,Overall,2019,0.0118357057,0.0069050985,1088.1378571,569.49271028,10.597516522,0.0,56.0,107.0,5750.0,60935.72,,Other / Not classified
