code,drug_name,condition
C02BA01,trimetaphan,Hypertension
C02KX05,riociguat,Hypertension
C02KX04,macitentan,Hypertension
C02CC01,betanidine,Hypertension
C02AA06,methoserpidine,Hypertension
C02AC01,clonidine,Hypertension
C02KX54,macitentan and tadalafil,Hypertension
C02KB01,metirosine,Hypertension
C02KX06,sotatercept,Hypertension
C02KN01,aprocitentan,Hypertension
C02AC05,moxonidine,Hypertension
C02CC04,debrisoquine,Hypertension
C02DA01,diazoxide,Hypertension
C02DG01,pinacidil,Hypertension
C02DB01,dihydralazine,Hypertension
C02KX02,ambrisentan,Hypertension
C02CA06,urapidil,Hypertension
C02AC02,guanfacine,Hypertension
C02CA04,doxazosin,Hypertension
C02CC02,guanethidine,Hypertension
C02DB02,hydralazine,Hypertension
C02AC06,rilmenidine,Hypertension
C02CA02,indoramin,Hypertension
C02KD01,ketanserin,Hypertension
C02AA05,deserpidine,Hypertension
C02BB01,mecamylamine,Hypertension
C02AB01,methyldopa (levorotatory),Hypertension
C02DC01,minoxidil,Hypertension
C02DD01,nitroprusside,Hypertension
C02KX01,bosentan,Hypertension
C02KC01,pargyline,Hypertension
C02CA01,prazosin,Hypertension
C02AA01,rescinnamine,Hypertension
C02AA02,reserpine,Hypertension
C03BD01,theobromine,Hypertension
C03DB02,triamterene,Hypertension
C03AA06,trichlormethiazide,Hypertension
C03BA10,xipamide,Hypertension
C03AA01,bendroflumethiazide,Hypertension
C03CA02,bumetanide,Hypertension
C03DA02,potassium canrenoate,Hypertension
C03DA03,canrenone,Hypertension
C03BX03,cicletanine,Hypertension
C03AA09,cyclothiazide,Hypertension
C03AA04,chlorothiazide,Hypertension
C03BA04,chlortalidone,Hypertension
C03DA05,finerenone,Hypertension
C03BA03,clopamide,Hypertension
C03DA04,eplerenone,Hypertension
C03AA07,cyclopenthiazide,Hypertension
C03XA02,conivaptan,Hypertension
C03CA03,piretanide,Hypertension
C03XA01,tolvaptan,Hypertension
C03CA04,torasemide,Hypertension
C03CB01,furosemide and potassium,Hypertension
C03CB02,bumetanide and potassium,Hypertension
C03AB01,bendroflumethiazide and potassium,Hypertension
C03CC01,etacrynic acid,Hypertension
C03CA01,furosemide,Hypertension
C03AA03,hydrochlorothiazide,Hypertension
C03AA02,hydroflumethiazide,Hypertension
C03BA11,indapamide,Hypertension
C03BA02,quinethazone,Hypertension
C03DB01,amiloride,Hypertension
C03BA05,mefruside,Hypertension
C03BC01,mersalyl,Hypertension
C03AA08,methyclothiazide,Hypertension
C03BA08,metolazone,Hypertension
C03AA05,polythiazide,Hypertension
C03DA01,spironolactone,Hypertension
C07FB02,metoprolol and felodipine,Hypertension
C07AA06,timolol,Hypertension
C07AB03,atenolol,Hypertension
C07AB04,acebutolol,Hypertension
C07AB05,betaxolol,Hypertension
C07AA19,bupranolol,Hypertension
C07AB07,bisoprolol,Hypertension
C07AA17,bopindolol,Hypertension
C07AG02,carvedilol,Hypertension
C07AB08,celiprolol,Hypertension
C07AA15,carteolol,Hypertension
C07AB14,landiolol,Hypertension
C07AA14,mepindolol,Hypertension
C07AB12,nebivolol,Hypertension
C07AB13,talinolol,Hypertension
C07AA16,tertatolol,Hypertension
C07FB03,atenolol and nifedipine,Hypertension
C07AB09,esmolol,Hypertension
C07AA01,alprenolol,Hypertension
C07AG01,labetalol,Hypertension
C07AB02,metoprolol,Hypertension
C07AA12,nadolol,Hypertension
C07AA02,oxprenolol,Hypertension
C07AA23,penbutolol,Hypertension
C07AA03,pindolol,Hypertension
C07AB01,practolol,Hypertension
C07AA05,propranolol,Hypertension
C07AA07,sotalol,Hypertension
C08DA01,verapamil,Hypertension
C08CA13,lercanidipine,Hypertension
C08EA02,bepridil,Hypertension
C08CA01,amlodipine,Hypertension
C08CA51,amlodipine and celecoxib,Hypertension
C08CA16,clevidipine,Hypertension
C08CA17,levamlodipine,Hypertension
C08CA09,lacidipine,Hypertension
C08CA11,manidipine,Hypertension
C08CA03,isradipine,Hypertension
C08DB01,diltiazem,Hypertension
C08CA12,barnidipine,Hypertension
C08CA02,felodipine,Hypertension
C08EA01,fendiline,Hypertension
C08DA02,gallopamil,Hypertension
C08CA10,nilvadipine,Hypertension
C08EX01,lidoflazine,Hypertension
C08CA04,nicardipine,Hypertension
C08CA05,nifedipine,Hypertension
C08CA06,nimodipine,Hypertension
C08CA07,nisoldipine,Hypertension
C08CA08,nitrendipine,Hypertension
C08EX02,perhexiline,Hypertension
C08CX01,mibefradil,Hypertension
C09XA53,aliskiren and amlodipine,Hypertension
C09BB04,perindopril and amlodipine,Hypertension
C09XA54,"aliskiren, amlodipine and hydrochlorothiazide",Hypertension
C09CA09,azilsartan medoxomil,Hypertension
C09CA08,olmesartan medoxomil,Hypertension
C09DX04,valsartan and sacubitril,Hypertension
C09DX05,valsartan and nebivolol,Hypertension
C09AA07,benazepril,Hypertension
C09AA01,captopril,Hypertension
C09AA08,cilazapril,Hypertension
